method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
cuBLAS,d,128,0,11,1,0.019870,0.027350,0.020790,0.019985,200.959120,209.052790,
cuBLAS,d,256,0,11,1,0.035580,0.049299,0.037611,0.036095,890.406373,927.798753,
cuBLAS,d,512,0,11,1,0.057720,0.059360,0.058620,0.058685,4574.775026,4569.707966,
cuBLAS,d,1024,0,11,1,0.185160,0.191090,0.186335,0.185750,11519.251239,11555.536203,
cuBLAS,d,2048,0,11,1,1.251228,1.258057,1.253454,1.253112,13702.678854,13706.410941,
cuBLAS,d,4096,0,11,1,9.217354,9.218933,9.218100,9.217954,14907.864117,14908.099591,
cuBLAS,d,8192,0,11,1,73.200170,73.206760,73.202167,73.201849,15019.289319,15019.354483,
cuBLAS,d,16384,0,11,1,583.163811,583.177781,583.168524,583.166351,15082.817787,15082.873989,
cuBLAS,d,32768,0,11,1,4657.316754,4658.393863,4657.854766,4657.866849,15107.313125,15107.273934,
