method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
ijk,d,128,0,5,1,0.082970,0.078917,0.081019,0.081062,51.567184,51.539608,
ikj,d,128,0,5,1,6.718159,6.590128,6.643144,6.640196,0.628907,0.629186,
jik,d,128,0,5,1,0.195980,0.186920,0.190431,0.190020,21.939237,21.986784,
jki,d,128,0,5,1,4.669905,4.274130,4.476005,4.433155,0.933404,0.942426,
kij,d,128,0,5,1,0.379801,0.371933,0.375964,0.375032,11.112541,11.140157,
kji,d,128,0,5,1,0.179052,0.165939,0.170079,0.169039,24.564564,24.715750,
ijk,d,256,0,5,1,0.146866,0.140905,0.143073,0.143051,234.068886,234.104351,
ikj,d,256,0,5,1,31.234980,30.327797,30.658267,30.664921,1.092328,1.092091,
jik,d,256,0,5,1,1.045942,1.034975,1.040285,1.040936,32.192031,32.171922,
jki,d,256,0,5,1,24.564981,23.657084,24.031444,23.991108,1.393545,1.395888,
kij,d,256,0,5,1,2.296925,2.259016,2.273820,2.274036,14.728035,14.726631,
kji,d,256,0,5,1,0.465870,0.452042,0.459433,0.460863,72.891858,72.665603,
ijk,d,512,0,5,1,0.982046,0.925779,0.940410,0.936985,285.166506,286.208752,
ikj,d,512,0,5,1,234.430790,229.460955,231.410417,230.799913,1.158864,1.161930,
jik,d,512,0,5,1,7.330894,7.272005,7.305644,7.309914,36.707691,36.686249,
jki,d,512,0,5,1,204.728842,200.762987,202.672958,202.889919,1.323183,1.321768,
kij,d,512,0,5,1,13.681889,13.461113,13.523080,13.491869,19.830786,19.876661,
kji,d,512,0,5,1,3.018856,2.916813,2.962763,2.966881,90.514612,90.388974,
ijk,d,1024,0,5,1,6.356955,6.310940,6.331552,6.330013,339.006142,339.088558,
ikj,d,1024,0,5,1,1507.133007,1468.508005,1486.834374,1483.850956,1.443628,1.446530,
jik,d,1024,0,5,1,84.239006,65.930843,78.734376,81.773043,27.261727,26.248688,
jki,d,1024,0,5,1,1528.611898,1499.358892,1514.871164,1517.799854,1.416909,1.414175,
kij,d,1024,0,5,1,205.350161,189.894915,199.111657,200.536966,10.780057,10.703438,
kji,d,1024,0,5,1,17.167091,16.249180,16.668125,16.647100,128.774839,128.937473,
ijk,d,2048,0,5,1,46.100855,45.590878,45.850797,45.820951,374.599264,374.843261,
ikj,d,2048,0,5,1,11552.039146,11442.375898,11485.317815,11481.375933,1.495446,1.495960,
jik,d,2048,0,5,1,2816.565990,2722.825050,2767.618808,2764.788151,6.205939,6.212293,
jki,d,2048,0,5,1,11633.709908,11376.143932,11515.446424,11528.699875,1.491534,1.489819,
kij,d,2048,0,5,1,3310.748816,3259.191036,3288.140297,3287.162066,5.223523,5.225077,
kji,d,2048,0,5,1,140.440941,133.327961,136.956952,136.884928,125.409296,125.475282,
ijk,d,4096,0,5,1,504.827976,480.987072,492.191336,491.836786,279.204785,279.406055,
ikj,d,4096,0,5,1,91283.319950,90835.162878,91050.655777,91056.325912,1.509294,1.509200,
jik,d,4096,0,5,1,28714.092970,28391.374111,28520.511692,28494.846106,4.818363,4.822703,
jki,d,4096,0,5,1,96223.603964,95406.157970,95645.339554,95563.807964,1.436789,1.438015,
kij,d,4096,0,5,1,33906.116009,33770.651102,33839.684486,33845.716000,4.060977,4.060253,
kji,d,4096,0,5,1,2046.885014,1965.859890,2014.909202,2019.773006,68.202664,68.038426,
