method_name,data_type,matrixSize,tile_size,repetitions,status,exec_time_min(ms),exec_time_max(ms),exec_time_mean(ms),exec_time_median(ms),gflops_mean,gflops_median
cuBLAS,d,128,0,11,1,0.021280,0.022169,0.021789,0.021905,191.745258,190.729057,
cuBLAS,d,256,0,11,1,0.034331,0.035036,0.034638,0.034585,966.832949,968.306954,
cuBLAS,d,512,0,11,1,0.101333,0.103955,0.102592,0.102573,2613.976473,2614.462987,
cuBLAS,d,1024,0,11,1,0.458221,0.461526,0.459688,0.459618,4669.325607,4670.041365,
cuBLAS,d,2048,0,11,1,2.899067,3.297629,3.044756,2.901839,5641.068424,5918.893116,
cuBLAS,d,4096,0,11,1,18.066020,18.627303,18.492259,18.616375,7431.335255,7381.790292,
cuBLAS,d,8192,0,11,1,157.871112,158.196155,157.927946,157.896490,6961.684422,6963.071306,
cuBLAS,d,16384,0,11,1,1261.898258,1267.555645,1264.758529,1264.572072,6954.548542,6955.573970,
cuBLAS,d,32768,0,11,1,10350.812906,10362.724136,10357.508599,10358.522512,6793.879992,6793.214993,
